"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","5,223","12,266","119,791","224,530","339,104","508,432","842,776"
"Brazil","1,320","3,410","36,318","76,044","149,605","190,159","253,830"
"Indonesia","693","1,907","28,825","61,295","113,932","145,572","197,308"
"Mexico","340","930","8,858","34,232","71,402","103,706","134,992"
"Pakistan","491","1,210","10,012","41,677","80,586","104,137","128,562"
"United States","717","1,871","8,759","25,033","48,182","86,921","112,836"
"Philippines","313","817","10,889","27,586","50,251","68,210","94,179"
"Russian Federation","381","921","13,420","35,318","55,525","71,220","83,676"
"Turkey","490","1,113","6,922","16,430","28,964","56,849","71,774"
"Egypt","322","817","7,963","21,509","37,753","46,895","58,714"
"Vietnam","138","427","8,785","21,723","35,551","45,904","56,893"
"Colombia","209","556","4,561","15,584","35,522","44,870","55,218"
"Thailand","133","454","7,106","20,240","33,030","39,753","48,042"
"Argentina","183","469","4,780","10,124","20,417","33,172","39,753"
"Peru","113","304","2,514","9,975","19,173","25,504","37,762"
"Algeria","103","238","2,516","14,019","20,138","26,264","35,596"
"Germany","147","326","2,507","5,554","11,284","19,769","29,599"
"Japan","156","351","1,288","2,062","4,036","11,798","26,325"
"France","146","378","2,725","6,067","10,134","18,815","25,596"
"Spain","112","251","1,871","4,258","10,411","17,848","24,880"
"Korea, Republic Of","173","576","3,044","4,950","9,611","15,160","24,857"
"Nigeria","195","501","3,647","10,269","15,345","19,936","24,485"
"United Kingdom (UK)","126","283","1,429","4,256","8,315","12,915","24,219"
"Saudi Arabia","201","441","2,979","7,401","9,414","14,104","24,070"
"Malaysia","176","454","2,761","6,456","14,732","19,005","23,817"
"Italy","130","279","1,564","3,382","8,930","14,716","23,228"
"South Africa","84","219","2,496","6,466","11,345","14,872","21,357"
"Ecuador","72","198","1,242","5,757","12,616","17,286","21,039"
"Ukraine","76","193","2,812","6,501","12,224","16,853","20,719"
"Chile","86","253","1,802","3,406","6,247","13,324","19,653"
"Kazakhstan","49","128","1,835","4,908","8,497","12,922","17,910"
"Poland","42","100","931","2,637","5,655","8,911","12,989"
"Venezuela","45","125","1,786","4,926","7,685","9,352","11,642"
"Romania","30","71","748","1,931","3,746","7,223","11,123"
"Canada","53","134","695","1,858","3,560","5,124","9,475"
"United Arab Emirates","114","248","1,057","2,658","3,961","6,589","9,385"
"Tunisia","25","56","664","3,828","6,036","6,970","8,266"
"Australia","33","92","400","1,523","2,954","4,361","7,199"
"Jordan","44","104","942","2,029","3,612","5,558","7,137"
"Netherlands","39","74","473","1,395","2,943","4,802","6,782"
"Taiwan","39","115","1,035","1,959","2,773","3,815","5,577"
"Belarus","18","47","498","1,135","2,121","3,038","4,628"
"Lebanon","27","65","575","1,213","1,877","3,277","4,217"
"Israel","31","60","370","852","1,675","2,990","4,157"
"Greece","19","42","336","894","1,836","2,976","3,991"
"Portugal","26","54","285","847","1,844","3,036","3,852"
"Belgium","17","46","366","726","1,560","2,590","3,759"
"Hungary","12","29","299","849","1,366","2,123","3,598"
"Singapore","30","74","358","800","2,082","2,691","3,433"
"Czech Republic","10","27","196","630","1,315","2,224","2,881"
"Bulgaria","9","19","167","588","1,311","2,072","2,827"
"Uruguay","13","32","281","743","1,291","2,423","2,809"
"Kuwait","26","53","275","714","1,053","1,687","2,563"
"Austria","10","26","200","460","951","1,671","2,505"
"Oman","21","44","362","752","1,242","1,707","2,392"
"Sweden","10","24","191","410","770","1,356","2,345"
"Qatar","22","46","245","635","864","1,222","2,107"
"Hong Kong","15","39","246","490","923","1,366","1,916"
"Switzerland","9","20","166","344","746","1,219","1,779"
"Ireland","6","15","94","310","605","874","1,713"
"Finland","4","10","95","299","644","920","1,602"
"New Zealand","6","17","115","398","761","1,048","1,554"
"Slovakia","4","11","112","330","658","1,066","1,512"
"Croatia","6","13","88","279","501","909","1,395"
"Lithuania","3","8","73","202","373","581","1,050"
"Norway","3","9","88","187","358","539","996"
"Denmark","3","10","82","199","324","547","888"
"Latvia","2","5","65","115","221","364","678"
"Slovenia","1","4","34","96","192","317","564"
"Estonia","1","2","28","73","133","202","339"
"Macao","0","0","1","24","26","52","72"
