"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","467","1,035","7,930","19,196","31,906","45,991","68,955"
"Brazil","314","848","3,984","6,918","11,482","18,765","28,178"
"United States","201","452","3,907","7,056","9,610","12,512","15,734"
"Pakistan","58","140","1,365","3,211","4,412","5,667","7,634"
"Egypt","75","203","1,364","2,911","4,502","5,424","6,945"
"Colombia","64","199","1,474","2,684","3,755","4,477","6,925"
"Mexico","101","267","1,377","2,144","3,376","4,886","6,726"
"Turkey","76","186","1,005","1,560","2,392","3,079","5,609"
"Italy","156","361","1,603","2,432","3,042","3,493","4,397"
"Argentina","72","173","1,163","1,752","2,334","2,960","4,193"
"Spain","104","244","1,124","1,719","2,115","2,760","4,092"
"France","149","329","1,346","1,976","2,254","2,794","3,811"
"United Kingdom (UK)","121","312","1,513","1,991","2,417","2,902","3,601"
"Indonesia","64","146","735","1,462","1,957","2,554","3,494"
"Russian Federation","80","175","593","882","1,283","1,720","3,230"
"Germany","126","297","1,015","1,686","2,241","2,689","3,206"
"Nigeria","60","134","814","1,326","1,680","2,016","2,699"
"Peru","20","71","524","906","1,463","1,879","2,520"
"Saudi Arabia","28","76","527","1,020","1,344","1,724","2,352"
"Algeria","33","98","648","1,049","1,360","1,590","2,303"
"South Africa","35","89","462","990","1,387","1,658","2,191"
"Japan","30","74","345","773","1,104","1,530","2,178"
"Korea, Republic Of","42","112","500","831","1,269","1,358","2,134"
"Chile","26","82","570","888","1,136","1,292","1,878"
"Poland","22","52","360","657","932","1,204","1,725"
"Vietnam","16","45","265","468","742","1,048","1,655"
"Romania","7","17","85","152","318","713","1,542"
"Ecuador","16","48","368","613","791","1,029","1,355"
"Thailand","17","42","244","505","733","823","1,295"
"Australia","23","49","272","509","734","948","1,280"
"Philippines","15","42","214","371","588","750","1,185"
"Malaysia","23","64","357","517","623","799","1,153"
"Ukraine","13","30","137","246","439","590","1,129"
"Kazakhstan","7","16","74","118","259","561","1,109"
"United Arab Emirates","23","70","347","530","689","851","1,090"
"Canada","26","56","273","481","648","760","1,075"
"Tunisia","14","38","207","344","570","695","1,035"
"Netherlands","23","55","232","425","559","699","1,009"
"Portugal","31","81","374","476","556","635","733"
"Israel","10","26","158","264","368","509","596"
"Greece","10","22","101","215","310","393","579"
"Jordan","7","21","130","230","314","403","559"
"Czech Republic","6","14","61","183","328","430","547"
"Venezuela","10","25","118","192","267","358","523"
"Hungary","5","10","52","104","165","233","474"
"Belgium","15","39","176","249","315","389","460"
"Singapore","8","18","98","172","237","274","377"
"Austria","9","24","107","156","217","270","367"
"Uruguay","7","17","96","156","204","244","364"
"Ireland","11","24","109","158","214","252","361"
"Finland","4","10","44","104","152","192","358"
"Sweden","12","29","108","143","195","239","339"
"Qatar","6","16","94","150","197","221","321"
"Croatia","2","6","41","105","169","222","315"
"Switzerland","11","24","85","139","200","239","301"
"Lebanon","4","12","69","113","154","192","298"
"Bulgaria","2","6","39","69","102","154","297"
"Kuwait","5","12","71","120","159","210","272"
"Norway","5","11","38","80","121","151","256"
"Slovakia","1","2","19","50","92","132","245"
"Oman","3","12","66","122","148","188","230"
"New Zealand","3","8","25","48","88","127","225"
"Taiwan","0","3","25","51","82","111","216"
"Denmark","5","12","52","93","120","142","204"
"Belarus","1","5","22","42","60","79","167"
"Hong Kong","2","6","32","47","63","88","134"
"Slovenia","1","2","10","21","26","43","68"
"Lithuania","0","0","3","5","11","12","21"
"Latvia","0","0","1","1","4","3","8"
"Estonia","0","0","0","1","1","2","5"
"Macao","0","0","0","0","0","0","1"
