"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","14,803","32,776","96,758","135,369","156,517","174,894","204,767"
"Brazil","6,146","11,822","37,408","47,604","57,530","61,757","66,313"
"Indonesia","3,922","8,336","21,825","30,458","36,311","39,543","49,660"
"Russian Federation","1,994","4,127","16,082","24,190","30,571","31,973","39,787"
"Mexico","2,781","5,495","12,575","16,624","20,742","24,161","29,405"
"United States","3,103","4,965","10,820","15,343","17,679","20,587","24,466"
"Thailand","1,141","2,376","6,959","9,991","12,654","17,274","23,758"
"Pakistan","2,400","4,509","12,580","15,932","18,729","20,490","23,362"
"Vietnam","1,426","2,873","8,800","11,560","14,511","17,841","22,424"
"Philippines","1,562","3,153","9,619","11,550","13,248","14,919","18,948"
"Egypt","1,507","3,031","8,367","10,413","12,470","14,488","17,177"
"Colombia","1,525","2,792","6,200","8,155","10,588","11,998","14,607"
"Turkey","1,232","2,095","4,978","8,067","10,926","11,829","14,421"
"Korea, Republic Of","603","1,102","4,002","6,952","8,862","11,405","13,677"
"Germany","978","2,079","4,519","7,094","9,538","11,113","12,581"
"France","1,026","2,054","4,254","6,796","8,396","9,888","12,355"
"Argentina","1,170","2,262","4,758","5,764","6,859","7,820","9,340"
"Algeria","703","1,540","3,975","5,160","6,260","6,829","8,883"
"Peru","909","1,684","3,729","4,995","6,511","7,381","8,733"
"Italy","881","1,828","4,100","5,597","6,564","7,235","8,689"
"Japan","493","1,150","3,626","5,036","5,827","7,050","8,463"
"Spain","854","1,650","3,540","4,979","5,854","6,684","7,880"
"Malaysia","648","1,281","3,705","4,890","5,577","6,142","7,450"
"United Kingdom (UK)","777","1,487","3,132","3,796","5,050","6,095","7,224"
"Saudi Arabia","639","1,208","3,355","4,137","4,865","5,445","6,727"
"Ukraine","539","1,183","3,212","4,211","5,118","5,869","6,649"
"Taiwan","231","484","1,841","3,109","4,376","5,166","6,309"
"Nigeria","640","1,013","2,820","3,604","4,131","4,651","5,976"
"Ecuador","641","1,171","2,586","3,296","4,217","4,713","5,857"
"Poland","367","828","1,977","3,192","3,689","4,411","5,552"
"South Africa","508","1,020","2,572","3,227","3,866","4,214","5,487"
"Chile","539","1,069","2,265","3,020","3,666","4,203","5,024"
"Kazakhstan","366","678","1,726","2,478","2,828","3,199","4,055"
"Romania","241","475","1,252","1,730","2,198","2,582","3,176"
"Venezuela","413","739","1,661","2,253","2,633","2,870","3,161"
"Canada","390","648","1,292","1,641","1,985","2,337","2,815"
"United Arab Emirates","428","619","1,297","1,703","2,002","2,200","2,731"
"Netherlands","268","542","1,178","1,494","1,801","2,190","2,583"
"Jordan","197","324","868","1,129","1,371","1,631","2,203"
"Tunisia","197","377","1,005","1,310","1,596","1,817","2,111"
"Australia","283","468","1,021","1,364","1,601","1,729","2,102"
"Portugal","160","338","811","1,016","1,293","1,441","1,626"
"Belarus","111","207","590","788","952","1,094","1,530"
"Greece","134","249","551","738","976","1,095","1,406"
"Czech Republic","105","229","622","905","1,093","1,204","1,395"
"Belgium","128","259","644","862","1,055","1,200","1,382"
"Hungary","105","217","623","789","917","994","1,249"
"Singapore","175","273","606","816","966","1,072","1,223"
"Israel","108","206","574","723","836","911","1,174"
"Lebanon","118","216","566","718","825","921","1,152"
"Hong Kong","117","232","506","720","846","994","1,148"
"Austria","87","166","431","630","767","880","1,021"
"Sweden","84","163","365","524","650","779","957"
"Bulgaria","64","124","310","429","523","633","815"
"Kuwait","63","107","301","406","556","614","799"
"Switzerland","79","149","352","452","607","702","792"
"Oman","76","131","343","480","604","651","752"
"Norway","50","90","268","393","517","580","739"
"Uruguay","82","183","398","490","564","629","724"
"Denmark","52","97","299","425","523","577","657"
"Qatar","74","119","270","356","439","518","637"
"Finland","70","138","347","411","485","550","625"
"Slovakia","43","87","271","353","404","461","570"
"Ireland","48","88","214","273","356","422","525"
"New Zealand","55","94","218","290","352","399","491"
"Croatia","43","85","199","259","325","379","424"
"Lithuania","33","62","152","204","241","269","329"
"Latvia","19","38","97","128","145","167","203"
"Slovenia","20","38","78","100","131","167","197"
"Estonia","11","22","51","70","86","95","109"
"Macao","3","6","13","17","21","25","28"
