"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","1,111","2,580","15,626","42,285","61,369","102,453","222,623"
"Indonesia","141","486","2,251","9,162","14,363","18,049","36,783"
"United States","467","1,201","9,937","13,460","17,092","19,440","23,197"
"Brazil","209","709","4,177","7,379","11,383","14,215","21,007"
"Russian Federation","185","754","2,222","4,121","6,102","7,411","12,434"
"Vietnam","40","119","820","1,553","2,321","3,120","8,417"
"Germany","260","564","2,086","3,240","3,877","4,993","7,732"
"Mexico","84","347","1,679","3,166","4,588","5,539","7,627"
"Korea, Republic Of","231","514","2,108","3,883","5,161","6,129","7,563"
"Pakistan","97","228","976","2,846","4,432","5,395","6,582"
"France","159","378","2,115","3,267","4,255","5,070","6,394"
"United Kingdom (UK)","312","525","2,344","3,346","4,106","5,225","6,022"
"Philippines","42","125","736","1,256","1,885","2,708","5,416"
"Italy","115","282","1,969","3,022","3,637","4,359","5,366"
"Turkey","115","582","1,062","2,874","3,721","4,438","5,064"
"Spain","104","291","1,725","2,428","2,792","3,379","5,029"
"Saudi Arabia","42","124","619","1,333","1,831","2,533","4,089"
"Thailand","42","127","773","1,720","2,425","2,931","3,888"
"Egypt","50","146","662","1,149","1,748","2,355","3,713"
"Malaysia","30","107","993","1,863","2,120","2,376","3,582"
"Canada","48","161","801","1,150","1,336","1,612","3,530"
"Colombia","35","111","713","1,983","2,615","2,913","3,298"
"Japan","85","205","1,116","1,784","2,196","2,617","3,267"
"Argentina","33","114","645","1,205","1,891","2,227","3,088"
"Algeria","24","63","312","562","858","1,533","2,553"
"Ukraine","30","114","424","997","1,374","1,634","2,521"
"Australia","38","114","680","903","1,093","1,348","2,231"
"Netherlands","57","156","907","1,315","1,654","1,866","2,217"
"Poland","42","146","697","1,008","1,284","1,512","2,215"
"Peru","15","53","325","591","1,086","1,337","1,720"
"Ecuador","11","49","175","283","518","753","1,424"
"Venezuela","5","22","66","280","714","1,044","1,351"
"Kazakhstan","21","54","191","410","951","1,120","1,345"
"Taiwan","61","102","524","687","776","901","1,287"
"South Africa","15","63","322","479","607","749","1,222"
"Chile","15","56","362","793","971","1,087","1,188"
"Jordan","8","24","123","269","385","540","1,100"
"United Arab Emirates","20","62","257","506","642","749","1,066"
"Nigeria","10","29","126","180","459","761","1,050"
"Romania","14","57","216","474","623","767","1,047"
"Belgium","25","60","309","464","613","751","1,007"
"Israel","15","49","312","441","571","666","854"
"Portugal","14","36","394","500","551","614","854"
"Singapore","18","55","390","503","562","666","831"
"Sweden","24","81","311","463","592","700","775"
"Hong Kong","20","69","358","428","476","563","753"
"Tunisia","8","24","110","181","298","425","719"
"Czech Republic","14","58","234","361","426","511","717"
"Ireland","7","19","216","322","457","556","685"
"Switzerland","25","71","269","346","397","466","670"
"Finland","11","58","288","386","490","543","636"
"Greece","9","26","228","428","466","499","633"
"Norway","21","83","256","343","418","460","526"
"Hungary","8","32","170","241","338","392","524"
"Austria","18","46","204","257","291","326","515"
"Belarus","6","23","93","161","297","384","505"
"Denmark","10","35","188","247","294","317","382"
"Kuwait","4","10","57","180","240","284","374"
"Slovakia","5","20","95","160","188","214","365"
"Lebanon","5","17","65","106","145","263","363"
"Bulgaria","4","19","90","157","187","215","337"
"New Zealand","5","16","148","187","244","292","331"
"Uruguay","1","6","45","88","187","226","323"
"Oman","3","11","58","93","162","202","317"
"Qatar","3","9","66","158","184","205","266"
"Croatia","3","11","94","133","157","178","254"
"Lithuania","2","8","59","95","111","138","211"
"Latvia","1","4","44","67","76","103","150"
"Slovenia","2","6","38","56","67","80","114"
"Estonia","1","4","30","43","56","69","107"
"Macao","0","0","0","2","3","4","7"
