"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","4,732","10,323","85,096","184,358","296,416","410,708","544,481"
"Indonesia","740","1,864","11,382","31,401","152,889","203,352","240,845"
"Brazil","947","2,431","12,805","25,543","45,565","117,376","152,300"
"Philippines","267","706","4,551","14,589","58,988","74,710","91,035"
"Vietnam","148","409","2,770","7,325","49,221","68,811","85,329"
"Pakistan","630","1,515","8,321","26,170","43,066","55,585","78,832"
"Thailand","133","378","2,535","6,305","46,579","58,597","72,084"
"Russian Federation","356","754","3,273","7,951","14,413","21,881","59,920"
"Mexico","388","1,011","6,290","11,657","28,973","38,189","59,763"
"Turkey","288","683","2,565","5,580","13,630","30,517","47,810"
"Egypt","327","791","5,372","9,877","16,713","36,495","45,794"
"United States","343","893","4,023","6,118","7,513","11,880","34,873"
"Colombia","202","517","2,889","5,690","13,294","20,768","32,272"
"Malaysia","155","367","1,608","3,021","9,083","24,483","28,073"
"Argentina","133","341","2,266","4,648","9,231","12,612","21,452"
"Peru","139","349","1,859","3,764","10,249","14,044","20,863"
"Japan","57","165","1,074","1,783","4,122","7,411","18,792"
"Korea, Republic Of","91","270","1,693","2,558","4,110","5,511","16,503"
"Algeria","115","272","1,921","3,084","5,787","9,832","16,425"
"Saudi Arabia","167","386","2,094","3,373","6,856","9,480","15,997"
"Ecuador","92","234","1,303","2,856","5,100","7,216","12,761"
"Kazakhstan","50","131","515","1,375","2,176","2,837","9,871"
"South Africa","85","206","1,227","1,978","3,406","5,125","9,338"
"France","92","214","1,038","1,895","2,574","3,189","9,217"
"Nigeria","104","252","1,533","3,102","4,530","5,684","9,143"
"Chile","68","181","777","1,500","3,436","5,291","8,958"
"Germany","128","293","972","1,987","2,447","2,927","8,767"
"Spain","88","196","1,108","1,799","2,185","2,731","8,451"
"Taiwan","27","78","564","949","2,292","4,265","7,784"
"Italy","93","213","852","1,483","2,025","2,794","7,584"
"United Kingdom (UK)","87","204","888","1,340","1,907","2,532","6,811"
"Jordan","46","110","681","1,226","2,217","3,830","6,265"
"Ukraine","69","158","749","1,763","2,591","3,635","6,045"
"Venezuela","52","131","830","1,405","2,314","3,632","5,866"
"Poland","41","93","448","1,000","1,656","2,457","4,550"
"United Arab Emirates","86","196","958","1,441","2,016","2,943","4,502"
"Tunisia","30","72","467","869","1,305","2,121","4,110"
"Romania","29","62","275","530","741","1,064","3,234"
"Singapore","26","57","409","708","1,371","2,368","3,153"
"Netherlands","32","68","285","560","679","853","2,958"
"Canada","34","81","346","599","779","944","2,445"
"Lebanon","29","66","344","659","978","1,376","2,413"
"Belarus","12","34","146","338","507","829","2,102"
"Australia","22","55","247","382","530","628","1,801"
"Portugal","18","42","178","305","471","611","1,760"
"Oman","24","49","279","474","719","991","1,577"
"Israel","22","48","182","321","545","706","1,455"
"Belgium","15","34","144","245","365","713","1,366"
"Greece","18","41","252","368","476","716","1,353"
"Uruguay","11","27","163","288","415","628","1,316"
"Hong Kong","12","29","158","292","499","744","1,107"
"Bulgaria","10","23","88","123","196","287","1,101"
"Qatar","17","40","217","352","494","650","1,087"
"Hungary","13","29","130","211","290","353","1,055"
"Kuwait","20","43","221","337","482","625","1,030"
"Czech Republic","14","30","116","232","349","444","946"
"Austria","9","20","77","151","228","283","794"
"Sweden","8","19","86","136","203","265","774"
"New Zealand","4","13","60","107","171","392","666"
"Finland","3","10","51","151","222","379","658"
"Switzerland","8","19","75","164","192","253","641"
"Norway","3","8","39","92","182","300","613"
"Ireland","5","13","63","109","175","350","575"
"Slovakia","7","15","58","92","145","175","492"
"Croatia","4","11","52","111","150","199","469"
"Denmark","2","6","32","52","83","241","461"
"Lithuania","3","7","36","50","69","116","370"
"Latvia","2","4","23","38","60","107","303"
"Slovenia","1","4","21","29","44","61","164"
"Estonia","1","2","10","23","33","46","140"
"Macao","0","0","5","12","24","6","48"
