"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","17","452","5,909","13,421","30,751","69,654","159,825"
"Brazil","29","263","5,427","8,567","19,935","35,824","68,532"
"Mexico","17","157","2,107","5,965","7,998","9,927","37,787"
"Indonesia","3","38","1,503","3,807","9,482","20,938","37,695"
"United States","164","704","5,197","11,908","12,773","17,617","31,050"
"Egypt","4","62","1,082","3,096","7,791","16,459","23,729"
"Pakistan","5","34","676","2,267","4,149","5,450","23,494"
"Russian Federation","36","327","3,347","9,951","14,372","18,740","19,464"
"Colombia","5","67","1,014","3,538","5,497","10,662","18,241"
"Thailand","2","23","537","1,586","2,822","7,156","17,164"
"Turkey","6","91","1,326","3,026","9,012","12,952","15,941"
"Japan","7","56","791","1,511","2,876","5,838","15,537"
"Philippines","3","37","833","1,315","2,437","6,218","14,673"
"Argentina","6","39","921","1,659","2,453","4,900","10,989"
"Peru","2","40","531","2,042","2,754","7,175","10,554"
"United Kingdom (UK)","49","266","1,607","3,253","4,221","5,855","10,280"
"Korea, Republic Of","43","217","2,255","3,376","4,996","5,363","9,823"
"South Africa","4","41","484","1,674","2,651","7,461","8,949"
"France","31","158","2,144","3,403","5,056","7,008","8,671"
"Germany","70","288","2,688","3,697","4,555","6,730","8,037"
"Spain","24","121","1,456","2,961","3,802","4,883","6,820"
"Italy","25","171","1,669","3,065","3,649","4,529","6,561"
"Vietnam","3","17","682","1,444","1,526","2,339","6,507"
"Algeria","1","42","395","1,460","2,373","3,554","6,355"
"Ukraine","8","50","657","2,283","4,643","4,374","6,093"
"Nigeria","0","14","450","1,102","2,374","3,556","5,738"
"Ecuador","1","16","368","1,061","1,482","2,319","5,126"
"Malaysia","2","39","610","982","2,117","2,700","4,994"
"Chile","6","35","511","1,216","2,009","2,640","4,660"
"Poland","16","88","1,075","1,781","2,057","3,159","4,650"
"Taiwan","3","20","717","1,091","1,452","2,130","4,124"
"Australia","15","58","620","1,228","2,209","2,315","3,934"
"Venezuela","1","9","179","562","700","811","3,837"
"Saudi Arabia","3","30","747","1,853","2,152","2,753","3,591"
"Kazakhstan","2","23","380","842","2,514","3,144","3,391"
"Canada","23","81","568","1,246","1,878","2,664","3,240"
"Netherlands","13","64","578","1,024","1,307","1,451","2,803"
"Romania","5","26","265","807","1,382","1,978","2,201"
"Jordan","0","7","168","315","631","1,179","1,907"
"Tunisia","1","12","188","551","820","1,057","1,615"
"Greece","4","21","205","437","767","1,098","1,433"
"Hungary","5","23","218","383","947","1,002","1,293"
"Belarus","1","12","120","343","724","899","1,270"
"Israel","5","26","209","570","878","709","1,254"
"United Arab Emirates","3","24","392","632","1,013","1,178","1,234"
"Czech Republic","6","31","390","698","810","1,006","1,032"
"Lebanon","0","6","99","273","352","503","975"
"Singapore","2","15","141","257","307","503","965"
"Bulgaria","2","10","115","273","454","566","948"
"Belgium","7","36","351","588","822","838","871"
"Uruguay","0","3","65","156","246","322","827"
"Austria","5","26","270","405","529","618","735"
"Ireland","2","12","124","245","312","394","696"
"Sweden","5","26","228","366","532","604","667"
"New Zealand","2","10","143","225","354","393","604"
"Switzerland","4","23","236","350","436","471","577"
"Hong Kong","2","10","249","329","354","399","537"
"Finland","2","10","149","251","417","483","520"
"Croatia","1","8","134","223","381","415","517"
"Slovakia","2","10","156","353","442","474","517"
"Oman","0","4","59","108","196","277","461"
"Denmark","2","13","114","208","271","297","454"
"Norway","2","11","118","212","301","330","412"
"Kuwait","0","3","59","141","231","266","411"
"Qatar","0","4","49","126","199","257","322"
"Lithuania","1","6","53","125","209","218","315"
"Slovenia","0","4","56","91","111","179","201"
"Latvia","0","3","27","72","124","134","145"
"Estonia","0","2","23","64","84","81","95"
"Macao","0","0","5","10","7","6","43"
