"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","1,236","2,439","7,991","8,199","16,902","22,526","33,352"
"United States","342","757","2,155","3,273","4,668","8,024","10,235"
"Brazil","313","622","2,395","2,942","3,564","4,187","6,691"
"Pakistan","253","479","1,764","2,425","3,743","4,595","6,004"
"Russian Federation","138","328","1,460","2,093","2,759","4,423","5,987"
"Mexico","198","379","1,255","1,727","2,016","2,545","4,338"
"Indonesia","164","368","1,381","1,882","2,361","2,207","4,131"
"Egypt","121","260","1,053","1,528","2,241","2,579","3,590"
"Korea, Republic Of","36","91","468","846","1,492","2,053","3,520"
"Germany","93","210","745","1,134","1,728","2,528","3,176"
"Thailand","51","106","435","702","1,275","2,064","3,129"
"Japan","44","102","387","976","1,454","2,017","3,024"
"Argentina","72","146","496","773","1,098","1,665","2,808"
"Vietnam","92","196","810","1,057","1,333","1,813","2,748"
"Turkey","172","357","1,244","1,587","1,615","1,663","2,499"
"Italy","69","159","474","967","1,978","2,154","2,365"
"France","82","172","537","952","1,457","1,823","2,251"
"Philippines","78","139","487","671","864","1,074","1,988"
"Ukraine","66","142","566","743","1,207","1,564","1,964"
"Poland","57","122","388","654","1,068","1,361","1,832"
"Spain","66","149","424","855","1,115","1,339","1,815"
"United Kingdom (UK)","87","167","416","572","943","1,230","1,726"
"Algeria","86","193","667","951","1,032","1,143","1,439"
"Canada","35","72","209","277","372","541","1,258"
"South Africa","50","107","401","554","705","843","1,216"
"Romania","34","67","211","318","534","632","1,070"
"Colombia","57","104","367","498","582","668","1,064"
"Saudi Arabia","40","85","259","356","488","624","970"
"Ecuador","32","56","181","225","275","425","939"
"Australia","32","61","151","257","371","488","858"
"Kazakhstan","51","102","323","447","494","606","857"
"Chile","32","65","195","286","360","455","691"
"Taiwan","12","32","129","220","354","486","686"
"Czech Republic","20","50","162","266","361","496","669"
"Netherlands","24","56","141","218","345","485","597"
"Peru","38","75","237","308","351","392","550"
"Malaysia","33","61","199","273","311","365","543"
"Jordan","22","43","157","230","319","385","541"
"Portugal","18","40","112","158","254","366","492"
"Tunisia","26","57","203","282","345","388","465"
"Hungary","22","45","133","181","300","370","464"
"Israel","15","35","111","160","258","313","450"
"Greece","20","44","141","192","247","319","448"
"Nigeria","11","22","65","80","101","161","432"
"Belgium","16","37","107","197","249","307","417"
"Belarus","16","33","126","176","216","321","412"
"Venezuela","15","33","96","118","127","146","381"
"Hong Kong","2","7","32","55","98","135","337"
"Austria","9","21","77","126","184","230","329"
"Bulgaria","15","27","85","119","178","227","326"
"Sweden","9","22","60","127","177","250","319"
"United Arab Emirates","14","28","95","126","164","208","306"
"Lebanon","14","26","77","113","147","192","289"
"Slovakia","10","18","49","66","101","136","275"
"Switzerland","8","20","45","88","133","205","244"
"Uruguay","6","12","41","57","95","151","237"
"Croatia","7","14","41","64","91","122","225"
"Finland","4","11","38","103","149","165","204"
"New Zealand","5","10","28","41","65","94","190"
"Norway","4","8","24","41","68","94","171"
"Singapore","8","14","40","51","69","98","156"
"Lithuania","5","11","27","44","69","93","139"
"Denmark","3","8","30","63","97","108","132"
"Kuwait","4","6","24","39","61","79","125"
"Ireland","7","13","31","58","88","105","123"
"Oman","7","14","38","45","50","60","106"
"Qatar","3","6","21","31","43","54","95"
"Slovenia","3","6","17","32","44","55","84"
"Latvia","3","6","13","19","38","49","67"
"Estonia","2","3","8","12","15","15","18"
"Macao","0","0","0","0","1","0","0"
